candidate_id,display_label,bucket,family,title,enabled,interval,asset_scope,excluded_assets,direction,entry_rule,exit_rule,stop_rule,target_rule,risk_rule,data_requirement,evidence_note,strategy_version
RMR_CONFIRMATION_BTC_1D,RMR_CONFIRM_BTC_1D,RANGE_MR_WATCHLIST,Range Mean Reversion,BTC daily range MR confirmation entry,True,1d,BTC,AUTO_QUARANTINE,LONG,ADX range gate with CONFIRMATION entry,"Exit at SMA20 reversion, ADX regime break, or disaster stop.",ATR stop x2.0,Frozen MA20 target at entry.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,Range MR hypothesis split: BTC daily confirmation entry tests whether waiting after the band breach reduces weak entries.,strategy-lab-v1.0.0:RMR_CONFIRMATION_BTC_1D
NEW_BTC_ETH_12H_PAIR,NEW_BTC_ETH_12H_PAIR,RESEARCH_ONLY,Pairs Research,BTC-ETH 12h cointegration pair,True,12h,"BTC,ETH",AUTO_QUARANTINE,LONG,BTC-ETH relationship research; no direct single-leg promotion.,Research-only relationship close; not execution authority.,ATR stop x1.5,Frozen MA20 target at entry.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,Claude sweep: BTC-ETH/12h pair positive but weak. Research-only report cycle until real pair execution is wired.,strategy-lab-v1.0.0:NEW_BTC_ETH_12H_PAIR
V2_BREAKOUT_RETEST,V2_BREAKOUT_RETEST,V2_SHADOW,Momentum,Breakout retest with volatility block,True,1h,ALL,AUTO_QUARANTINE,LONG,"LONG breakout/retest; lookback=20, retest=True","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.2,FIXED_150R target.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,"Loss autopsy: old breakout suffered fakeouts. V2 requires a cleaner retest, trend support, normal volatility, and a 1.5R target.",strategy-lab-v1.0.0:V2_BREAKOUT_RETEST
V2_MR_RECOVERY,V2_MR_RECOVERY,V2_SHADOW,Mean Reversion,Mean reversion after RSI recovery,True,1h,ALL,AUTO_QUARANTINE,LONG,"LONG mean reversion; RSI below 40.0, Bollinger/MA filters.","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.5,Frozen MA20 target at entry.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,Loss autopsy: relaxed pullback entered falling knives. V2 waits for RSI recovery and minimum reward.,strategy-lab-v1.0.0:V2_MR_RECOVERY
V2_MR_REGIME,V2_MR_REGIME,V2_SHADOW,Mean Reversion,Mean reversion with tighter regime filter,True,1h,ALL,AUTO_QUARANTINE,LONG,"LONG mean reversion; RSI below 35.0, Bollinger/MA filters.","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.5,Frozen MA20 target at entry.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,"Loss autopsy: regime-filtered MR still bought weak structure. V2 requires MA20 above MA200, RSI recovery, and reward quality.",strategy-lab-v1.0.0:V2_MR_REGIME
V2_MR_DEEP,V2_MR_DEEP,V2_SHADOW,Mean Reversion,Deep value with recovery confirmation,True,2h,ALL,AUTO_QUARANTINE,LONG,"LONG mean reversion; RSI below 30.0, Bollinger/MA filters.","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.5,Frozen MA20 target at entry.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,Loss autopsy: deep value had too few but sharp losses. V2 keeps deep RSI but waits for recovery and avoids volatility shock.,strategy-lab-v1.0.0:V2_MR_DEEP
V2_MR_REWARD,V2_MR_REWARD,V2_SHADOW,Exit Logic,Mean reversion with 1.25R reward gate,True,1h,ALL,AUTO_QUARANTINE,LONG,"LONG mean reversion; RSI below 35.0, Bollinger/MA filters.","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.5,FIXED_125R target.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,Loss autopsy: fixed 1R did not pay enough after fees. V2 requires 1.25R target and rejects weak planned reward.,strategy-lab-v1.0.0:V2_MR_REWARD
REPAIR_BREAKOUT_QUALITY_V1,FIX_BREAKOUT_QUALITY,LOSS_REPAIR_TEST,Momentum,Breakout repair with retest and quality gates,True,4h,"BTC,XRP,BNB,PAXG",AUTO_QUARANTINE,LONG,"LONG breakout/retest; lookback=30, retest=True","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.0,FIXED_150R target.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,"Loss autopsy: OLD_BREAKOUT had too many fakeouts and SLs. Repair waits for trend support, breakout retest, reward quality, and calmer volatility.",strategy-lab-v1.0.0:REPAIR_BREAKOUT_QUALITY_V1
REPAIR_MR_REGIME_LATE_V1,FIX_MR_LATE,LOSS_REPAIR_TEST,Mean Reversion,Regime MR repair with late confirmation,True,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,LONG,"LONG mean reversion; RSI below 32.0, Bollinger/MA filters.","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.0,FIXED_125R target.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,"Loss autopsy: OLD_MR_REGIME entered weak falling candles too early. Repair requires RSI/close recovery, trend support, reward quality, and rejects known weak-loss assets.",strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1
REPAIR_MR_1R_ASYMMETRIC_V1,FIX_MR_1R_ASYM,LOSS_REPAIR_TEST,Exit Logic,1R repair with asymmetric reward,True,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,LONG,"LONG mean reversion; RSI below 35.0, Bollinger/MA filters.","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.0,FIXED_150R target.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,"Loss autopsy: OLD_MR_1R could not overcome fees and outsized SLs. Repair uses 1.5R target, 1.0 ATR stop, and recovery confirmation.",strategy-lab-v1.0.0:REPAIR_MR_1R_ASYMMETRIC_V1
SHORT_BTC_BREAKDOWN_4H,SHORT_BTC_4H,SHORT_SIDE_TEST,Short Momentum,BTC 4h breakdown short,True,4h,BTC,AUTO_QUARANTINE,SHORT,"SHORT breakdown; lookback=20, trend support required=True","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.3,FIXED_125R target.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,Short-side maturity: tests whether BTC breakdowns below recent lows produce cleaner paper shorts than forced long-only entries.,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H
SHORT_ETH_BREAKDOWN_4H,SHORT_ETH_4H,SHORT_SIDE_TEST,Short Momentum,ETH 4h breakdown short,True,4h,ETH,AUTO_QUARANTINE,SHORT,"SHORT breakdown; lookback=20, trend support required=True","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.3,FIXED_125R target.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,"Short-side maturity: ETH breakdown paper test with trend, volatility, and reward gates.",strategy-lab-v1.0.0:SHORT_ETH_BREAKDOWN_4H
SHORT_SOL_BREAKDOWN_4H,SHORT_SOL_4H,SHORT_SIDE_TEST,Short Momentum,SOL 4h breakdown short,True,4h,SOL,AUTO_QUARANTINE,SHORT,"SHORT breakdown; lookback=18, trend support required=True","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.25,FIXED_150R target.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,"Short-side maturity: SOL is higher beta, so this validates whether breakdown shorts survive after fees and stops.",strategy-lab-v1.0.0:SHORT_SOL_BREAKDOWN_4H
SHORT_OIL_BREAKDOWN_1H,SHORT_OIL_1H,SHORT_SIDE_TEST,Short Momentum,Oil futures 1h breakdown short,True,1h,"OIL_FUT,BRENT_FUT",AUTO_QUARANTINE,SHORT,"SHORT breakdown; lookback=18, trend support required=True","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.2,FIXED_125R target.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,Short-side maturity: oil already has live futures data in the lab; test downside continuation instead of only recovery longs.,strategy-lab-v1.0.0:SHORT_OIL_BREAKDOWN_1H
